ResourceNo,ResourceType,CultureName,ResourceKey,ResourceValue,InitBy,InitDate,ChangedBy,ChangedDate
257,CommonTerms,en-US,IncentiveTypeFrench,Incentive Type French,pat,2011-04-06 00:00:00,,NULL
2266,ValidationMessages,en-US,LeaseNotActiveAddLeaseholder,Unable to add leaseholder.  Lease status is not valid.,pat,2011-04-06 00:00:00,,NULL
1818,ExceptionMessages,en-US,InvalidArguments,Invalid arguments provided.,pat,2011-04-06 00:00:00,,NULL
2194,ValidationMessages,en-US,PropertyDataType,{0} does not represent a valid {1} data type.,pat,2011-04-06 00:00:00,,NULL
2420,Labels,en-US,Au,Au:,pat,2011-04-06 00:00:00,,NULL
2108,Labels,fr-CA,Occupation,Profession :,pat,2011-04-06 00:00:00,HThomas,2011-12-13 07:55:00
2337,ValidationMessages,fr-CA,EndFloorInvalid,Veuillez définir un numéro d'étage de départ ou réinitialiser le numéro d'étage d'arrivée à 0,pat,2011-04-06 00:00:00,daghern,2011-12-05 12:42:00
2338,ValidationMessages,fr-CA,EnglishNameIsUnique,Le nom anglais n'est pas unique.,pat,2011-04-06 00:00:00,daghern,2011-12-13 08:26:00
2339,ValidationMessages,fr-CA,FileContentTypesNotAllowed,Ce type de contenu n'est pas autorisé.,pat,2011-04-06 00:00:00,HThomas,2016-04-05 07:46:00
2340,ValidationMessages,fr-CA,FileExtensionNotAllowed,Cette extension de fichier n'est pas autorisée.,pat,2011-04-06 00:00:00,daghern,2011-12-01 08:38:00
2341,ValidationMessages,fr-CA,FileMaxSize,La taille du fichier dépasse la taille maximale autorisée.,pat,2011-04-06 00:00:00,daghern,2011-11-30 13:09:00
2342,ValidationMessages,fr-CA,FileNotFound,Fichier introuvable.,pat,2011-04-06 00:00:00,daghern,2011-11-30 13:10:00
2343,ValidationMessages,fr-CA,FileUploadGeneralError,Une erreur est survenue lors du téléversement du fichier.,pat,2011-04-06 00:00:00,daghern,2011-11-30 13:11:00
2344,ValidationMessages,fr-CA,FloorNumExceedMax,Le numéro d'étage ne doit pas être supérieur au nombre d'étages maximum de la propriété,pat,2011-04-06 00:00:00,ndagher,2015-05-28 08:56:00
